ID	Functional_category
YCL001W	PUNCTATE...
YCL005W	LIPID PA...
YCL009C	MITOCHON...
YCL010C	NUCLEUS
YCL011C	NUCLEUS
YCL014W	BUD NECK
YCL016C	NUCLEUS
YCL017C	MITOCHON...
YCL024W	BUD NECK
YCL025C	ER
YCL027W	Not visu...
YCL028W	CYTOPLASM
YCL029C	MICROTUBULE
YCL030C	CYTOPLASM
YCL031C	NUCLEOLUS
YCL032W	CYTOPLASM
YCL034W	CYTOPLASM
YCL035C	CYTOPLASM
YCL037C	CYTOPLASM
YCL039W	CYTOPLASM
YCL043C	CYTOPLASM
YCL044C	MITOCHON...
YCL050C	NUCLEUS
YCL052C	ER
YCL055W	CYTOPLASM
YCL056C	PUNCTATE...
YCL057W	CYTOPLASM
YCL061C	NUCLEUS
YCL064C	MITOCHON...
YCR002C	BUD NECK
YCR003W	MITOCHON...
YCR004C	CELLULAR...
YCR005C	CYTOPLASM
YCR009C	PUNCTATE...
YCR011C	ER
YCR016W	NUCLEOLUS
YCR017C	Not visu...
YCR018C	CYTOPLASM
YCR020C	CYTOPLASM
YCR020W_B	NUCLEUS
YCR023C	AMBIGOUS
YCR024C	MITOCHON...
YCR024C_A	VACUOLAR...
YCR027C	CYTOPLASM
YCR028C	Not visu...
YCR028C_A	MITOCHON...
YCR030C	CELLULAR...
YCR033W	NUCLEUS
YCR034W	ER
YCR035C	NUCLEUS
YCR036W	CYTOPLASM
YCR038C	BUD NECK
YCR042C	NUCLEUS
YCR043C	PUNCTATE...
YCR044C	ER
YCR046C	MITOCHON...
YCR047C	CYTOPLASM
YCR053W	CYTOPLASM
YCR054C	CYTOPLASM
YCR059C	CYTOPLASM
YCR060W	NUCLEUS
YCR061W	PUNCTATE...
YCR063W	NUCLEUS
YCR065W	Not Visu...
YCR067C	ER
YCR071C	MITOCHON...
YCR073W_A	CYTOPLASM
YCR077C	CYTOPLASM
YCR079W	MITOCHON...
YCR081W	Not Visu...
YCR082W	NUCLEUS
YCR083W	MITOCHON...
YCR084C	NUCLEOLUS
YCR086W	NUCLEUS
YCR087C_A	NUCLEOLUS
YCR088W	PUNCTATE...
YCR092C	NUCLEUS
YCR093W	CYTOPLASM
YCR094W	PUNCTATE...
YCR095C	CYTOPLASM
YDL001W	CYTOPLASM
YDL002C	NUCLEUS
YDL003W	NUCLEUS
YDL005C	NUCLEUS
YDL008W	VACUOLAR...
YDL012C	CELLULAR...
YDL015C	ER
YDL017W	CYTOPLASM
YDL018C	PUNCTATE...
YDL019C	CELLULAR...
YDL020C	CYTOPLASM
YDL021W	NUCLEUS
YDL022W	PUNCTATE...
YDL027C	MITOCHON...
YDL028C	NUCLEUS
YDL029W	CYTOPLASM
YDL030W	NUCLEUS
YDL033C	PUNCTATE...
YDL036C	CYTOPLASM
YDL040C	CYTOPLASM
YDL042C	NUCLEAR ...
YDL043C	NUCLEUS
YDL044C	MITOCHON...
YDL045C	CYTOPLASM
YDL045W_A	MITOCHON...
YDL046W	ER
YDL048C	CYTOPLASM
YDL051W	NUCLEUS
YDL052C	ER
YDL053C	CYTOPLASM
YDL054C	VACUOLAR...
YDL055C	CYTOPLASM
YDL058W	PUNCTATE...
YDL060W	CYTOPLASM
YDL061C	CYTOPLASM
YDL063C	NUCLEUS
YDL064W	CYTOPLASM
YDL065C	CYTOPLASM
YDL066W	MITOCHON...
YDL067C	MITOCHON...
YDL070W	NUCLEUS
YDL072C	ER
YDL074C	NUCLEUS
YDL076C	NUCLEUS
YDL077C	Not visu...
YDL078C	CYTOPLASM
YDL080C	CYTOPLASM
YDL081C	CYTOPLASM
YDL082W	CYTOPLASM
YDL083C	CYTOPLASM
YDL085C_A	NUCLEUS
YDL087C	NUCLEUS
YDL088C	NUCLEAR ...
YDL089W	ER
YDL090C	CYTOPLASM
YDL091C	PUNCTATE...
YDL092W	NUCLEOLUS
YDL095W	ER
YDL097C	NUCLEUS
YDL098C	NUCLEUS
YDL099W	PUNCTATE...
YDL100C	CYTOPLASM
YDL101C	NUCLEUS
YDL102W	PUNCTATE...
YDL103C	CYTOPLASM
YDL104C	MITOCHON...
YDL105W	NUCLEUS
YDL106C	CYTOPLASM
YDL107W	MITOCHON...
YDL108W	NUCLEUS
YDL111C	NUCLEOLUS
YDL112W	CYTOPLASM
YDL115C	CYTOPLASM
YDL116W	NUCLEAR ...
YDL117W	CYTOPLASM
YDL119C	MITOCHON...
YDL120W	MITOCHON...
YDL122W	CYTOPLASM
YDL123W	VACUOLAR...
YDL124W	NUCLEUS
YDL125C	CYTOPLASM
YDL126C	CYTOPLASM
YDL128W	ER
YDL129W	CYTOPLASM
YDL130W	CYTOPLASM
YDL130W_A	MITOCHON...
YDL132W	CYTOPLASM
YDL133C_A	CYTOPLASM
YDL134C	CYTOPLASM
YDL135C	CYTOPLASM
YDL136W	CYTOPLASM
YDL137W	PUNCTATE...
YDL139C	CYTOPLASM
YDL140C	NUCLEUS
YDL141W	CYTOPLASM
YDL142C	MITOCHON...
YDL144C	CYTOPLASM
YDL146W	CYTOPLASM
YDL147W	NUCLEUS
YDL150W	NUCLEUS
YDL152W	NUCLEUS
YDL155W	CYTOPLASM
YDL159W	CYTOPLASM
YDL160C	CYTOPLASM
YDL161W	PUNCTATE...
YDL164C	MITOCHON...
YDL165W	CYTOPLASM
YDL166C	NUCLEUS
YDL167C	CYTOPLASM
YDL168W	CYTOPLASM
YDL170W	NUCLEUS
YDL171C	CYTOPLASM
YDL173W	CELLULAR...
YDL174C	MITOCHON...
YDL175C	NUCLEUS
YDL178W	MITOCHON...
YDL181W	MITOCHON...
YDL184C	CYTOPLASM
YDL188C	CYTOPLASM
YDL189W	CYTOPLASM
YDL191W	CYTOPLASM
YDL192W	PUNCTATE...
YDL195W	PUNCTATE...
YDL197C	NUCLEUS
YDL201W	NUCLEUS
YDL202W	MITOCHON...
YDL203C	CYTOPLASM
YDL204W	ER
YDL205C	CYTOPLASM
YDL207W	NUCLEAR ...
YDL208W	NUCLEOLUS
YDL209C	NUCLEUS
YDL211C	CYTOPLASM
YDL212W	ER
YDL216C	CYTOPLASM
YDL219W	CYTOPLASM
YDL220C	CYTOPLASM
YDL222C	CELL PER...
YDL223C	CYTOPLASM
YDL224C	CYTOPLASM
YDL225W	BUD NECK
YDL226C	CYTOPLASM
YDL227C	NUCLEUS
YDL229W	CYTOPLASM
YDL230W	CYTOPLASM
YDL232W	ER
YDL234C	CYTOPLASM
YDL235C	CYTOPLASM
YDL236W	CYTOPLASM
YDL238C	CYTOPLASM
YDL240W	CYTOPLASM
YDR001C	CYTOPLASM
YDR004W	CYTOPLASM
YDR005C	Not Visu...
YDR009W	CYTOPLASM
YDR011W	CELL PER...
YDR012W	CYTOPLASM
YDR014W	NUCLEUS
YDR016C	SPINDLE ...
YDR017C	CYTOPLASM
YDR019C	MITOCHON...
YDR021W	NUCLEUS
YDR023W	NUCLEUS
YDR024W	CYTOPLASM
YDR025W	CYTOPLASM
YDR026C	NUCLEOLUS
YDR027C	PUNCTATE...
YDR028C	CYTOPLASM
YDR032C	PUNCTATE...
YDR033W	CELL PER...
YDR034C	NUCLEUS
YDR034W_B	CELL PER...
YDR035W	CYTOPLASM
YDR036C	MITOCHON...
YDR038C	CELL PER...
YDR039C	CELL PER...
YDR040C	CELL PER...
YDR041W	MITOCHON...
YDR043C	NUCLEOLUS
YDR044W	CYTOPLASM
YDR046C	CELL PER...
YDR047W	CYTOPLASM
YDR049W	CYTOPLASM
YDR050C	CYTOPLASM
YDR052C	CYTOPLASM
YDR054C	NUCLEUS
YDR055W	ER
YDR056C	ER
YDR060W	NUCLEOLUS
YDR061W	MITOCHON...
YDR062W	ER
YDR063W	CYTOPLASM
YDR065W	MITOCHON...
YDR066C	CYTOPLASM
YDR068W	CYTOPLASM
YDR069C	PUNCTATE...
YDR070C	MITOCHON...
YDR071C	CYTOPLASM
YDR074W	CYTOPLASM
YDR075W	CYTOPLASM
YDR076W	Not Visu...
YDR077W	ER
YDR079C_A	NUCLEUS
YDR079W	MITOCHON...
YDR080W	PUNCTATE...
YDR081C	NUCLEUS
YDR083W	NUCLEUS
YDR084C	PUNCTATE...
YDR086C	ER
YDR088C	NUCLEUS
YDR089W	Not Visu...
YDR091C	CYTOPLASM
YDR092W	CYTOPLASM
YDR093W	CELL PER...
YDR096W	NUCLEUS
YDR097C	Not Visu...
YDR098C	CYTOPLASM
YDR099W	CYTOPLASM
YDR100W	PUNCTATE...
YDR101C	NUCLEUS
YDR103W	CYTOPLASM
YDR108W	CYTOPLASM
YDR111C	CYTOPLASM
YDR115W	MITOCHON...
YDR116C	MITOCHON...
YDR118W	CYTOPLASM
YDR119W	NUCLEUS
YDR120C	NUCLEUS
YDR121W	CYTOPLASM
YDR122W	Not visu...
YDR123C	NUCLEUS
YDR125C	MITOCHON...
YDR127W	CYTOPLASM
YDR129C	PUNCTATE...
YDR130C	NUCLEUS
YDR132C	CYTOPLASM
YDR135C	VACUOLAR...
YDR137W	PUNCTATE...
YDR138W	CYTOPLASM
YDR140W	CYTOPLASM
YDR141C	PUNCTATE...
YDR144C	Not Visu...
YDR145W	NUCLEUS
YDR146C	CYTOPLASM
YDR147W	CYTOPLASM
YDR148C	MITOCHON...
YDR150W	PUNCTATE...
YDR152W	CYTOPLASM
YDR153C	PUNCTATE...
YDR155C	CYTOPLASM
YDR156W	NUCLEOLUS
YDR158W	CYTOPLASM
YDR159W	NUCLEAR ...
YDR161W	NUCLEUS
YDR164C	PUNCTATE...
YDR166C	PUNCTATE...
YDR167W	NUCLEUS
YDR168W	CYTOPLASM
YDR169C	CYTOPLASM
YDR170C	PUNCTATE...
YDR170W_A	PUNCTATE...
YDR171W	CYTOPLASM
YDR172W	CYTOPLASM
YDR173C	CYTOPLASM
YDR174W	NUCLEOLUS
YDR175C	MITOCHON...
YDR176W	NUCLEUS
YDR177W	CYTOPLASM
YDR179C	CYTOPLASM
YDR180W	NUCLEUS
YDR182W	CYTOPLASM
YDR184C	CYTOPLASM
YDR186C	CYTOPLASM
YDR189W	PUNCTATE...
YDR190C	NUCLEUS
YDR191W	NUCLEUS
YDR194C	MITOCHON...
YDR195W	NUCLEUS
YDR196C	ER
YDR197W	MITOCHON...
YDR200C	CYTOPLASM
YDR201W	SPINDLE ...
YDR202C	VACUOLAR...
YDR205W	ER
YDR207C	CYTOPLASM
YDR208W	CYTOPLASM
YDR210W	CELL PER...
YDR211W	CYTOPLASM
YDR213W	CYTOPLASM
YDR216W	CYTOPLASM
YDR217C	CYTOPLASM
YDR219C	MITOCHON...
YDR221W	ER
YDR224C	NUCLEUS
YDR226W	CYTOPLASM
YDR227W	NUCLEAR ...
YDR228C	CYTOPLASM
YDR231C	MITOCHON...
YDR232W	MITOCHON...
YDR233C	ER
YDR234W	MITOCHON...
YDR235W	NUCLEUS
YDR236C	CYTOPLASM
YDR238C	PUNCTATE...
YDR239C	CYTOPLASM
YDR243C	NUCLEUS
YDR244W	PUNCTATE...
YDR245W	Not visu...
YDR246W	PUNCTATE...
YDR247W	NUCLEUS
YDR248C	CYTOPLASM
YDR250C	CYTOPLASM
YDR251W	CYTOPLASM
YDR252W	CYTOPLASM
YDR254W	MICROTUBULE
YDR257C	NUCLEUS
YDR258C	NUCLEOLUS
YDR262W	CYTOPLASM
YDR264C	PUNCTATE...
YDR265W	PUNCTATE...
YDR266C	CYTOPLASM
YDR267C	CYTOPLASM
YDR268W	MITOCHON...
YDR270W	PUNCTATE...
YDR272W	CYTOPLASM
YDR279W	NUCLEUS
YDR280W	NUCLEUS
YDR284C	VACUOLAR...
YDR288W	CYTOPLASM
YDR291W	NUCLEUS
YDR293C	CYTOPLASM
YDR294C	ER
YDR295C	CYTOPLASM
YDR297W	ER
YDR298C	MITOCHON...
YDR299W	NUCLEUS
YDR300C	CYTOPLASM
YDR302W	ER
YDR303C	NUCLEUS
YDR307W	CYTOPLASM
YDR308C	NUCLEUS
YDR309C	CYTOPLASM
YDR310C	NUCLEUS
YDR311W	NUCLEUS
YDR312W	PUNCTATE...
YDR313C	VACUOLAR...
YDR314C	NUCLEUS
YDR316W	MITOCHON...
YDR318W	NUCLEUS
YDR320C	CYTOPLASM
YDR320C_A	SPINDLE ...
YDR322C_A	MITOCHON...
YDR322W	MITOCHON...
